id,name,name_code,attrition,age,gender,marital_status_id,distance_from_home,hourly_rate,daily_rate,monthly_rate,monthly_income,percent_salary_hike,job_level,job_role_id,business_travel_id,department_id,education_id,num_of_companies_worked,total_working_years,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,stock_option_level,environment_satisfaction_id,job_involvement_id,job_satisfaction_id,performance_rating_id,relationship_satisfaction_id,work_life_balance_id,over_time,workload_pressure_index,engagement_score,engagement_feedback_score,training_hours_last_year,training_hours_last_6_months,training_gap_score,promotion_stagnation_ratio,role_stability_ratio,attrition_risk_class_id,over_time_hours_last_month,late_arrivals_last_month,absence_days_last_month,absence_ratio,work_shift_id
10,Mary Johnson,mary_johnson,False,35,True,1,16,84,809,16479,2426,13,1,2,1,0,2,0,6,5,5,4,0,3,1,0,3,1,2,2,2,True,2,3,3,69,35,2,0.0,0.8,1,17.8,12,1,0.0434782608695652,1
11,Robert Smith,robert_smith,False,29,False,2,15,49,153,12682,4193,12,2,2,1,0,1,0,10,3,9,5,0,8,0,3,1,2,2,3,2,True,4,3,4,39,23,3,0.0,0.556,1,16.716666666666665,13,1,0.0434782608695652,1
12,William Jones,william_jones,False,31,True,0,26,31,670,15170,2911,17,1,1,1,0,0,1,5,1,5,2,4,3,1,0,2,2,2,3,1,True,3,3,4,13,4,4,0.8,0.4,2,17.383333333333333,9,1,0.0434782608695652,1
13,Elizabeth Williams,elizabeth_williams,False,34,True,0,19,93,1346,8758,2661,11,1,2,1,0,1,0,3,2,2,2,1,2,1,1,2,3,2,2,2,True,3,4,4,22,9,4,0.5,1.0,0,18.53333333333333,9,2,0.0869565217391304,2
14,Jennifer Johnson,jennifer_johnson,True,28,True,2,24,50,103,12947,2028,14,1,2,1,0,2,5,6,4,4,2,0,3,0,2,1,2,2,1,2,True,4,3,3,42,16,3,0.0,0.5,2,18.23333333333333,10,2,0.0869565217391304,2
15,Jennifer Davis,jennifer_davis,False,29,False,0,21,51,1389,10195,9980,11,3,3,1,0,3,1,10,1,10,9,8,8,1,1,3,0,2,2,2,True,3,3,3,13,5,4,0.8,0.9,2,18.25,11,1,0.0434782608695652,2
16,Mary Johnson,mary_johnson,False,32,True,0,5,80,334,15053,3298,12,1,1,1,0,1,0,7,5,6,2,0,5,2,0,3,1,2,3,1,True,5,3,3,49,18,3,0.0,0.333,2,19.7,11,1,0.0434782608695652,1
17,Robert Miller,robert_miller,False,22,True,0,16,96,1123,7324,2935,13,1,2,0,0,1,1,1,2,1,0,0,0,2,3,3,3,2,1,1,True,4,4,3,23,12,4,0.0,0.0,2,23.35,10,1,0.0434782608695652,1
18,Elizabeth Johnson,elizabeth_johnson,False,53,False,1,2,78,1219,22021,15427,16,4,5,1,1,3,2,31,3,25,8,3,7,0,0,1,3,2,2,2,True,2,3,4,29,9,4,0.12,0.32,0,20.85,10,2,0.0869565217391304,2
19,Linda Martinez,linda_martinez,False,38,True,2,2,45,371,4306,3944,11,1,1,1,0,2,5,6,3,3,2,1,2,0,3,2,3,2,2,2,True,4,3,3,24,13,4,0.333,0.667,1,18.78333333333333,9,1,0.0434782608695652,1
20,Robert Johnson,robert_johnson,False,24,False,0,11,96,673,8232,4011,18,2,3,0,0,1,0,5,5,4,2,1,3,1,0,3,2,2,3,1,True,1,3,4,79,40,2,0.25,0.5,2,20.683333333333334,11,1,0.0434782608695652,2
21,Jennifer Miller,jennifer_miller,True,36,True,2,9,82,1218,6986,3407,23,1,6,1,1,3,7,10,4,5,3,0,3,0,2,1,0,3,1,2,True,2,1,3,46,17,3,0.0,0.6,1,13.45,12,1,0.0434782608695652,1
22,Jennifer Jones,jennifer_jones,False,34,False,2,7,53,419,21293,11994,11,3,7,1,0,3,0,13,4,12,6,2,11,0,0,2,1,2,2,2,True,1,3,3,63,24,2,0.167,0.5,1,25.55,8,1,0.0434782608695652,2
23,Elizabeth Miller,elizabeth_miller,False,21,True,2,15,96,391,19281,1232,14,1,1,1,0,1,1,0,6,0,0,0,0,0,2,2,3,2,3,2,True,3,3,4,55,27,3,0.0,0.0,0,16.533333333333335,7,1,0.0434782608695652,1
24,Barbara Rodriguez,barbara_rodriguez,True,34,True,2,6,83,699,17102,2960,11,1,1,1,0,0,2,8,2,4,2,1,3,0,1,2,0,2,2,2,True,2,2,3,25,13,4,0.25,0.5,2,23.28333333333333,13,1,0.0434782608695652,2
25,John Davis,john_davis,False,53,False,0,5,58,1282,10735,19094,11,5,5,1,0,2,4,26,3,14,13,4,8,1,2,2,2,2,3,1,True,4,3,4,29,16,4,0.286,0.929,1,20.58333333333333,11,1,0.0434782608695652,1
26,Linda Rodriguez,linda_rodriguez,True,32,False,2,16,72,1125,4681,3919,22,1,1,2,0,0,1,10,5,10,2,6,7,0,1,0,0,3,1,2,True,3,1,3,72,40,2,0.6,0.2,2,22.1,6,1,0.0434782608695652,1
27,Patricia Smith,patricia_smith,False,42,True,1,8,48,691,21173,6825,11,2,0,1,1,3,0,10,2,9,7,4,2,1,2,2,1,2,3,2,True,2,2,3,29,17,4,0.444,0.778,1,18.46666666666667,10,2,0.0869565217391304,1
28,Barbara Smith,barbara_smith,False,44,False,1,7,42,477,2094,10248,14,3,4,1,0,3,3,24,4,22,6,5,17,1,0,1,3,2,3,2,True,1,3,4,36,17,3,0.227,0.273,0,22.03333333333333,13,2,0.0869565217391304,1
29,Mary Davis,mary_davis,False,46,False,2,2,83,705,22822,18947,12,5,5,1,1,3,3,22,2,2,2,2,1,0,1,2,0,2,3,1,True,4,2,4,31,18,3,1.0,1.0,2,20.58333333333333,11,1,0.0434782608695652,2
30,Linda Rodriguez,linda_rodriguez,False,33,True,2,2,78,924,6670,2496,11,1,2,1,0,2,4,7,3,1,1,0,0,0,2,2,3,2,3,2,True,3,4,3,29,16,4,0.0,1.0,0,15.833333333333334,6,1,0.0434782608695652,2
31,William Jones,william_jones,False,44,True,1,10,41,1459,19121,6465,13,2,4,1,0,3,2,9,5,4,2,1,3,0,3,2,3,2,3,3,True,3,4,3,65,37,2,0.25,0.5,0,15.833333333333334,9,1,0.0434782608695652,2
32,Linda Brown,linda_brown,False,30,True,2,9,83,125,16117,2206,13,1,2,1,0,1,1,10,5,10,0,1,8,0,3,1,2,2,0,2,True,2,2,1,79,24,2,0.1,0.0,0,18.9,8,2,0.0869565217391304,1
33,David Smith,david_smith,True,39,True,1,5,56,895,3335,2086,14,2,6,1,1,2,3,19,6,1,0,0,0,1,3,2,3,2,2,3,True,3,3,3,90,53,2,0.0,0.0,0,20.133333333333333,10,2,0.0869565217391304,2
34,Elizabeth Martinez,elizabeth_martinez,True,24,True,1,1,61,813,3020,2293,16,1,1,1,0,2,2,6,2,2,0,2,0,1,1,2,3,2,0,1,True,4,4,3,31,14,3,1.0,0.0,2,17.866666666666667,13,1,0.0434782608695652,1
35,Michael Rodriguez,michael_rodriguez,False,43,False,0,2,72,1273,21923,2645,12,1,1,1,0,1,1,6,3,5,3,1,4,2,3,3,2,2,3,1,True,2,3,3,32,17,3,0.2,0.6,1,17.2,11,1,0.0434782608695652,2
36,John Martinez,john_martinez,True,50,True,1,3,86,869,3810,2683,14,1,6,1,1,1,1,3,2,3,2,0,2,0,0,1,2,2,2,2,True,4,3,3,18,6,4,0.0,0.667,1,16.983333333333334,10,3,0.1304347826086956,1
37,Barbara Martinez,barbara_martinez,False,35,False,1,2,97,890,9687,2014,13,1,6,1,1,2,1,2,3,2,2,2,2,0,3,2,3,2,0,2,True,2,4,2,29,12,4,1.0,1.0,0,19.1,15,1,0.0434782608695652,1
38,James Martinez,james_martinez,False,36,False,1,5,82,852,13072,3419,14,1,1,1,0,3,9,6,3,1,1,0,0,1,1,1,0,2,3,3,True,3,2,3,36,14,3,0.0,1.0,2,16.916666666666668,10,1,0.0434782608695652,2
39,Michael Johnson,michael_johnson,False,33,False,1,1,42,1141,3193,5376,19,2,0,2,1,2,2,10,3,5,3,1,3,2,2,3,0,2,0,2,True,3,3,3,43,17,3,0.2,0.6,1,21.566666666666663,11,1,0.0434782608695652,1
40,Jennifer Smith,jennifer_smith,False,35,True,0,4,75,464,10910,1951,12,1,2,1,0,1,1,1,3,1,0,0,0,1,2,2,3,2,2,2,True,2,3,3,28,9,4,0.0,0.0,0,19.183333333333334,11,1,0.0434782608695652,2
41,Barbara Williams,barbara_williams,False,27,False,0,2,33,1240,19715,2341,13,1,2,1,0,3,1,1,6,1,0,0,0,1,3,2,0,2,3,2,True,2,2,5,80,43,2,0.0,0.0,1,17.783333333333335,12,2,0.0869565217391304,2
42,Linda Brown,linda_brown,True,26,True,2,25,48,1357,10558,2293,12,1,2,1,0,2,1,1,2,1,0,0,1,0,0,0,2,2,2,1,True,2,2,2,21,6,4,0.0,0.0,2,15.016666666666666,12,3,0.1304347826086956,1
43,Patricia Martinez,patricia_martinez,False,27,True,2,8,37,994,2975,8726,15,3,0,2,1,2,1,9,0,9,8,1,7,0,3,2,2,2,3,2,True,1,3,3,0,0,5,0.111,0.889,0,24.016666666666666,12,1,0.0434782608695652,2
44,Linda Miller,linda_miller,False,30,False,2,1,58,721,10781,4011,23,2,2,2,0,1,1,12,2,12,8,3,7,0,2,2,3,3,3,2,True,1,4,4,27,10,4,0.25,0.667,0,18.46666666666667,6,1,0.0434782608695652,2
45,Robert Garcia,robert_garcia,True,41,False,1,12,49,1360,16280,19545,12,5,7,1,0,2,1,23,0,22,15,15,8,0,1,2,2,2,3,2,True,3,4,4,0,0,5,0.682,0.682,1,16.166666666666668,14,1,0.0434782608695652,1
46,Linda Johnson,linda_johnson,False,34,True,2,23,72,1065,10034,4568,20,2,0,0,1,3,0,10,2,9,5,8,7,0,1,2,2,3,2,2,True,3,3,4,29,11,4,0.889,0.556,1,16.85,15,1,0.0434782608695652,2
47,Elizabeth Davis,elizabeth_davis,False,37,True,1,19,73,408,10227,3022,21,1,1,1,0,1,4,8,1,1,0,0,0,0,1,2,1,3,0,2,True,1,1,4,9,3,5,0.0,0.0,1,17.8,9,1,0.0434782608695652,1
48,Mary Davis,mary_davis,False,46,True,2,5,98,1211,20445,5772,21,2,0,2,1,3,4,14,4,9,6,0,8,0,0,2,3,3,2,2,True,4,3,4,57,25,3,0.0,0.667,1,11.716666666666669,11,2,0.0869565217391304,2
49,John Johnson,john_johnson,False,35,True,1,8,36,1229,4892,2269,19,1,2,1,0,0,1,1,2,1,0,0,1,0,3,3,3,2,3,2,True,2,5,4,17,8,4,0.0,0.0,0,20.55,9,1,0.0434782608695652,2
50,Patricia Williams,patricia_williams,True,48,True,2,1,98,626,19294,5381,13,3,2,1,0,1,9,23,2,1,0,0,0,0,0,1,2,2,3,2,True,4,3,3,19,6,4,0.0,0.0,2,17.916666666666668,9,2,0.0869565217391304,2
51,Patricia Garcia,patricia_garcia,True,28,True,2,5,50,1434,11179,3441,13,1,2,1,0,3,1,2,3,2,2,2,2,0,2,2,2,2,2,1,True,4,3,2,40,14,3,1.0,1.0,2,14.35,12,1,0.0434782608695652,1
52,Linda Smith,linda_smith,False,44,False,0,1,75,1488,4009,5454,21,2,0,1,1,4,5,9,2,4,3,1,3,1,1,2,0,3,2,1,True,4,2,4,30,11,4,0.25,0.75,2,20.116666666666667,9,1,0.0434782608695652,1
53,Robert Johnson,robert_johnson,False,35,True,1,11,79,1097,8302,9884,13,3,4,0,0,1,2,10,3,4,0,2,3,1,2,1,0,2,2,2,True,4,1,3,30,18,4,0.5,0.0,2,18.15,7,2,0.0869565217391304,1
54,Jennifer Miller,jennifer_miller,False,26,False,1,23,47,1443,21436,4157,19,2,0,1,1,2,7,5,2,2,2,0,0,1,2,1,3,2,2,1,True,5,4,4,21,9,4,0.0,1.0,2,21.066666666666663,9,1,0.0434782608695652,1
55,James Johnson,james_johnson,False,33,False,2,1,98,515,15146,13458,12,3,7,2,0,1,1,15,1,15,14,8,12,0,0,2,3,2,2,2,True,4,3,4,12,6,4,0.533,0.933,2,15.566666666666666,11,1,0.0434782608695652,2
56,Michael Johnson,michael_johnson,False,35,True,1,18,71,853,11031,9069,22,3,0,2,1,4,1,9,3,9,8,1,8,1,1,2,0,3,3,1,True,2,2,4,29,11,4,0.111,0.889,2,17.116666666666667,11,1,0.0434782608695652,1
57,Mary Rodriguez,mary_rodriguez,False,35,False,1,23,30,1142,16002,4014,15,1,2,1,0,3,3,4,3,2,2,2,2,1,2,2,0,2,2,2,True,4,1,3,43,19,3,1.0,1.0,2,20.916666666666668,9,1,0.0434782608695652,1
58,Michael Williams,michael_williams,False,31,True,0,7,48,655,9528,5915,22,2,2,1,0,3,3,10,3,7,7,1,7,1,3,2,3,3,3,1,True,3,3,4,43,14,3,0.143,1.0,0,20.216666666666665,11,1,0.0434782608695652,1
59,Mary Miller,mary_miller,False,37,True,0,1,51,1115,2689,5993,18,2,3,1,0,3,1,7,2,7,5,0,7,1,0,1,2,2,2,3,True,2,3,3,18,6,4,0.0,0.714,0,22.95,8,1,0.0434782608695652,2
60,David Johnson,david_johnson,False,32,True,1,1,33,427,10877,6162,22,2,3,1,0,2,1,9,3,9,8,7,8,1,0,2,3,3,1,2,True,4,3,2,35,15,3,0.778,0.889,2,17.75,11,2,0.0869565217391304,2
61,David Johnson,david_johnson,False,38,False,2,29,50,653,5456,2406,11,2,2,2,0,4,1,10,2,10,3,9,9,0,3,2,3,2,3,2,True,2,3,3,28,12,4,0.9,0.3,1,14.9,11,3,0.1304347826086956,1
62,John Martinez,john_martinez,False,50,False,0,7,43,989,16701,18740,12,5,7,1,0,1,5,29,2,27,3,13,8,1,1,1,2,2,3,1,True,5,3,4,21,7,4,0.481,0.111,2,16.95,7,3,0.1304347826086956,1
63,Robert Garcia,robert_garcia,False,59,False,2,25,99,1435,2354,7637,11,3,0,1,1,2,7,28,3,21,16,7,9,0,0,2,0,2,3,1,True,2,1,3,39,20,3,0.333,0.762,2,20.53333333333333,13,2,0.0869565217391304,1
64,Linda Rodriguez,linda_rodriguez,False,36,False,0,8,59,1223,8202,10096,13,3,4,1,0,2,1,17,2,17,14,12,8,3,2,2,2,2,1,2,True,2,2,2,17,10,4,0.706,0.824,0,16.116666666666667,11,2,0.0869565217391304,2
65,James Miller,james_miller,False,55,False,0,8,33,836,19730,14756,14,4,5,1,0,2,2,21,2,5,0,0,2,3,3,2,2,2,2,2,True,5,3,3,26,11,4,0.0,0.0,0,18.183333333333334,12,2,0.0869565217391304,2
66,Michael Rodriguez,michael_rodriguez,False,36,True,2,11,95,1195,22656,6499,13,2,3,2,0,2,1,6,3,6,5,0,3,0,1,1,1,2,2,2,True,2,2,4,28,14,4,0.0,0.833,1,22.55,9,2,0.0869565217391304,2
67,Michael Williams,michael_williams,False,45,True,0,7,59,1339,18787,9724,17,3,1,1,0,2,2,25,2,1,0,0,0,1,1,2,0,2,2,2,True,1,2,3,29,17,4,0.0,0.0,1,14.6,9,1,0.0434782608695652,1
68,Jennifer Jones,jennifer_jones,False,35,True,1,1,79,664,5868,2194,13,1,1,2,0,2,4,5,2,3,2,1,2,1,1,2,0,2,3,1,True,2,3,4,22,12,4,0.333,0.667,2,17.9,11,1,0.0434782608695652,2
69,William Davis,william_davis,True,36,True,1,9,79,318,21777,3388,17,1,1,1,0,2,0,2,0,1,0,0,0,1,3,1,2,2,0,1,True,4,3,2,0,0,5,0.0,0.0,2,20.883333333333333,11,1,0.0434782608695652,2
70,James Johnson,james_johnson,False,59,False,2,1,57,1225,24668,5473,11,2,0,2,1,0,7,20,2,4,3,1,3,0,0,1,2,2,3,1,True,1,2,3,29,15,4,0.25,0.75,1,17.066666666666666,12,1,0.0434782608695652,1
71,Barbara Smith,barbara_smith,False,29,True,1,2,76,1328,4956,2703,23,1,1,1,0,2,0,6,3,5,4,0,4,1,2,2,1,3,3,2,True,2,2,4,25,8,4,0.0,0.8,2,22.133333333333333,14,1,0.0434782608695652,2
72,Linda Brown,linda_brown,False,31,True,2,1,87,1082,18775,2501,17,1,1,1,0,3,1,1,4,1,1,1,0,0,2,2,1,2,1,2,True,2,3,3,45,20,3,1.0,1.0,0,20.28333333333333,8,2,0.0869565217391304,2
73,Elizabeth Davis,elizabeth_davis,False,32,True,1,1,66,548,7346,6220,17,2,1,1,0,2,1,10,3,10,4,0,9,2,1,2,1,2,1,2,True,3,3,2,33,13,3,0.0,0.4,1,13.2,12,1,0.0434782608695652,2
74,Patricia Brown,patricia_brown,False,36,False,1,6,55,132,22002,3038,12,1,2,1,0,2,3,5,3,1,0,0,0,0,1,3,3,2,1,2,True,1,5,3,31,11,3,0.0,0.0,0,23.883333333333333,13,1,0.0434782608695652,2
75,Robert Garcia,robert_garcia,False,31,False,2,8,61,746,20682,4424,23,2,3,1,0,3,1,11,2,11,7,1,8,0,2,2,3,3,3,2,True,2,3,4,31,13,3,0.091,0.636,0,16.75,9,1,0.0434782608695652,1
76,Patricia Smith,patricia_smith,False,35,True,2,1,32,776,23016,4312,14,2,0,1,1,3,0,16,2,15,13,2,8,0,2,1,0,2,1,2,True,3,2,2,28,10,4,0.133,0.867,1,14.066666666666666,8,2,0.0869565217391304,2
77,Jennifer Garcia,jennifer_garcia,False,45,True,1,6,52,193,15067,13245,14,3,7,1,0,3,4,17,3,0,0,0,0,0,3,2,0,2,1,3,True,4,2,3,26,13,4,0.0,0.0,2,14.883333333333333,12,1,0.0434782608695652,2
78,Jennifer Rodriguez,jennifer_rodriguez,False,37,True,2,7,30,397,25258,13664,13,3,7,1,0,3,4,16,3,5,2,0,2,0,0,2,2,2,0,3,True,2,2,3,41,18,3,0.0,0.4,0,22.316666666666663,8,2,0.0869565217391304,1
79,Michael Jones,michael_jones,False,46,True,0,5,80,945,10425,5021,22,2,8,1,2,1,8,16,2,4,2,0,2,1,1,2,1,3,3,2,True,4,2,4,24,11,4,0.0,0.5,2,20.366666666666667,12,1,0.0434782608695652,2
80,Robert Garcia,robert_garcia,False,30,True,1,1,55,852,15998,5126,12,2,2,1,0,0,1,10,1,10,8,3,0,2,3,1,3,2,2,1,True,4,3,2,15,5,4,0.3,0.8,2,18.46666666666667,11,1,0.0434782608695652,1
81,David Smith,david_smith,False,35,True,2,1,30,1214,26278,2859,18,1,1,1,0,2,1,6,3,6,4,0,4,0,1,1,2,2,0,2,True,3,2,1,32,11,3,0.0,0.667,0,19.7,9,2,0.0869565217391304,2
82,Patricia Miller,patricia_miller,False,55,True,1,1,70,111,18092,10239,14,3,0,1,1,1,3,24,4,1,0,1,0,1,0,2,3,2,3,2,True,2,2,5,50,24,3,1.0,0.0,0,24.35,10,3,0.1304347826086956,2
83,Barbara Rodriguez,barbara_rodriguez,False,38,False,0,6,79,573,15717,5329,12,2,1,0,0,2,7,17,3,13,11,1,9,3,1,0,3,2,3,2,True,4,2,4,36,21,3,0.077,0.846,1,20.8,10,1,0.0434782608695652,1
84,Robert Brown,robert_brown,False,34,True,1,1,94,1153,17736,4325,15,2,3,1,0,1,1,5,2,5,2,1,3,0,0,2,1,2,2,2,True,2,3,3,24,8,4,0.2,0.4,1,16.95,11,2,0.0869565217391304,1
85,Jennifer Jones,jennifer_jones,False,56,True,2,7,49,1400,21698,7260,11,3,3,1,0,2,4,37,3,6,4,0,2,0,3,0,3,2,0,1,True,2,2,2,35,14,3,0.0,0.667,0,15.633333333333333,14,1,0.0434782608695652,2
86,Patricia Johnson,patricia_johnson,False,23,True,0,2,62,541,9518,2322,13,1,6,1,1,0,3,3,3,0,0,0,0,1,2,2,0,2,2,2,True,2,2,2,29,16,4,0.0,0.0,1,16.316666666666666,13,1,0.0434782608695652,1
87,Patricia Miller,patricia_miller,False,51,True,1,9,96,432,18725,2075,23,1,2,1,0,3,3,10,4,4,2,0,3,2,3,2,3,3,1,2,True,2,3,4,56,18,3,0.0,0.5,0,21.016666666666666,13,1,0.0434782608695652,2
88,Patricia Garcia,patricia_garcia,False,30,True,1,2,99,288,15830,4152,19,2,4,1,0,2,1,11,3,11,10,10,8,3,2,1,3,2,0,2,True,1,2,3,35,20,3,0.909,0.909,0,22.316666666666663,9,1,0.0434782608695652,2
89,Patricia Garcia,patricia_garcia,True,46,True,2,9,64,669,13596,9619,16,3,0,1,1,1,1,9,3,9,8,4,7,0,2,1,3,2,3,2,True,2,3,3,47,21,3,0.444,0.889,0,20.666666666666668,11,1,0.0434782608695652,2
90,Jennifer Garcia,jennifer_garcia,False,40,True,1,1,78,530,14115,13503,22,4,4,2,0,3,1,22,3,22,3,11,11,1,2,1,1,3,3,1,True,3,1,5,30,13,4,0.5,0.136,2,22.58333333333333,16,1,0.0434782608695652,1
91,David Williams,david_williams,False,51,True,2,21,71,632,8423,5441,22,2,0,1,1,3,0,11,2,10,7,1,0,0,2,2,3,3,3,0,True,5,4,4,27,11,4,0.1,0.7,2,17.433333333333334,10,2,0.0869565217391304,2
92,Elizabeth Martinez,elizabeth_martinez,False,30,False,0,4,63,1334,19760,5209,12,2,0,1,1,1,1,11,4,11,8,2,7,3,2,1,1,2,1,1,True,4,3,3,62,24,2,0.182,0.727,2,23.216666666666665,17,1,0.0434782608695652,1
93,Mary Miller,mary_miller,False,46,True,1,1,40,638,3142,10673,13,3,4,2,0,2,2,21,5,10,9,9,5,1,2,1,0,2,2,1,True,4,1,3,67,26,2,0.9,0.9,2,17.416666666666668,10,1,0.0434782608695652,1
94,Mary Garcia,mary_garcia,False,32,True,2,6,87,1093,24301,5010,16,2,0,1,1,3,1,12,0,11,8,5,7,0,1,2,2,2,0,2,True,2,3,2,0,0,5,0.455,0.727,0,17.333333333333332,14,1,0.0434782608695652,2
95,Robert Davis,robert_davis,False,54,False,1,2,60,1217,24001,13549,12,3,7,1,0,3,9,16,5,4,3,0,3,1,0,2,2,2,0,0,True,2,3,3,73,38,2,0.0,0.75,1,19.83333333333333,14,2,0.0869565217391304,1
96,John Rodriguez,john_rodriguez,False,24,False,1,3,33,1353,17519,4999,21,2,0,1,1,1,0,4,2,3,2,0,2,1,0,2,2,3,0,1,True,2,3,3,22,11,4,0.0,0.667,2,20.33333333333333,15,1,0.0434782608695652,2
97,Jennifer Brown,jennifer_brown,False,28,True,1,4,43,120,8863,4221,15,2,0,0,1,2,1,5,3,5,4,0,4,0,1,2,2,2,1,3,True,2,4,3,38,21,3,0.0,0.8,1,19.96666666666667,12,2,0.0869565217391304,1
98,Jennifer Jones,jennifer_jones,False,58,True,2,10,37,682,24409,13872,13,4,0,1,1,3,0,38,1,37,10,1,8,0,3,2,2,2,2,1,True,2,3,2,9,3,5,0.027,0.27,1,13.883333333333333,10,1,0.0434782608695652,1
99,Linda Rodriguez,linda_rodriguez,False,44,True,1,23,67,489,25043,2042,12,2,2,0,0,2,4,17,3,3,2,1,2,1,1,2,1,2,2,3,True,2,2,2,37,18,3,0.333,0.667,2,22.916666666666668,10,1,0.0434782608695652,1
100,Barbara Miller,barbara_miller,True,37,True,0,6,63,807,23648,2073,22,1,8,1,2,3,4,7,3,3,2,0,2,0,2,2,0,3,3,2,True,3,3,4,30,13,4,0.0,0.667,2,18.8,10,1,0.0434782608695652,1
101,Elizabeth Brown,elizabeth_brown,False,32,True,2,1,71,827,15178,2956,13,1,1,1,0,0,1,1,2,1,0,0,0,0,3,2,0,2,3,2,True,2,2,4,28,15,4,0.0,0.0,1,20.28333333333333,11,1,0.0434782608695652,1
102,John Smith,john_smith,True,20,False,2,6,66,871,19783,2926,18,1,2,2,0,2,1,1,5,1,0,1,0,0,3,1,3,2,1,2,True,4,4,3,61,24,2,1.0,0.0,1,18.816666666666663,12,1,0.0434782608695652,2
103,Patricia Smith,patricia_smith,False,34,False,2,6,41,665,12482,4809,14,2,1,1,0,3,1,16,3,16,13,2,10,0,0,2,2,2,2,2,True,1,3,3,34,17,3,0.125,0.812,0,13.55,10,1,0.0434782608695652,2
104,Jennifer Garcia,jennifer_garcia,False,37,True,0,2,100,1040,15850,5163,14,2,4,0,0,1,5,17,2,1,0,0,0,1,2,1,3,2,3,3,True,2,3,3,20,11,4,0.0,0.0,0,21.566666666666663,8,2,0.0869565217391304,2
105,Patricia Smith,patricia_smith,False,59,False,1,2,32,1420,21922,18844,21,5,5,0,2,3,9,30,3,3,2,2,2,1,2,1,3,3,3,2,True,3,3,4,48,20,3,0.667,0.667,0,12.4,8,1,0.0434782608695652,2
106,John Miller,john_miller,False,50,False,1,1,73,1115,9755,18172,19,5,7,2,0,2,3,28,1,8,3,0,7,0,0,2,1,2,0,1,True,4,2,2,9,3,5,0.0,0.375,2,18.433333333333334,11,2,0.0869565217391304,2
